frame.number$frame.time$frame.len$eth.src$eth.dst$ip.src$ip.dst$ip.proto$ip.len$tcp.len$tcp.srcport$tcp.dstport$_ws.col.Info
25$Mar  7, 2022 22:16:50.449649835 +0545$66$08:71:90:9b:cd:96$c8:50:e9:d1:53:26$192.168.1.20$142.250.76.42$6$52$0$56786$443$56786 → 443 [ACK] Seq=482 Ack=272 Win=501 Len=0 TSval=1086278800 TSecr=182027487
26$Mar  7, 2022 22:16:53.798112472 +0545$105$08:71:90:9b:cd:96$c8:50:e9:d1:53:26$192.168.1.20$142.250.182.10$6$91$39$55982$443$Application Data
27$Mar  7, 2022 22:16:53.798151210 +0545$93$08:71:90:9b:cd:96$c8:50:e9:d1:53:26$192.168.1.20$104.16.19.94$6$79$39$45580$443$Application Data
28$Mar  7, 2022 22:16:53.798173381 +0545$105$08:71:90:9b:cd:96$c8:50:e9:d1:53:26$192.168.1.20$192.229.179.87$6$91$39$33994$443$Application Data
29$Mar  7, 2022 22:16:53.798200180 +0545$105$08:71:90:9b:cd:96$c8:50:e9:d1:53:26$192.168.1.20$142.250.205.238$6$91$39$51588$443$Application Data
30$Mar  7, 2022 22:16:53.798222045 +0545$93$08:71:90:9b:cd:96$c8:50:e9:d1:53:26$192.168.1.20$104.16.19.94$6$79$39$45582$443$Application Data
31$Mar  7, 2022 22:16:53.798256786 +0545$105$08:71:90:9b:cd:96$c8:50:e9:d1:53:26$192.168.1.20$142.250.76.42$6$91$39$56788$443$Application Data
32$Mar  7, 2022 22:16:53.798314968 +0545$105$08:71:90:9b:cd:96$c8:50:e9:d1:53:26$192.168.1.20$142.250.71.35$6$91$39$46174$443$Application Data
33$Mar  7, 2022 22:16:53.798766170 +0545$72$08:71:90:9b:cd:96$c8:50:e9:d1:53:26$192.168.1.20$142.250.195.46$17$58$$$$60211 → 443 Len=30
34$Mar  7, 2022 22:16:53.798914694 +0545$90$08:71:90:9b:cd:96$c8:50:e9:d1:53:26$192.168.1.20$142.250.205.238$6$76$24$51588$443$Application Data
35$Mar  7, 2022 22:16:53.799094255 +0545$78$08:71:90:9b:cd:96$c8:50:e9:d1:53:26$192.168.1.20$104.16.19.94$6$64$24$45582$443$Application Data
36$Mar  7, 2022 22:16:53.799333480 +0545$90$08:71:90:9b:cd:96$c8:50:e9:d1:53:26$192.168.1.20$142.250.71.35$6$76$24$46174$443$Application Data
37$Mar  7, 2022 22:16:53.799460502 +0545$90$08:71:90:9b:cd:96$c8:50:e9:d1:53:26$192.168.1.20$192.229.179.87$6$76$24$33994$443$Application Data
38$Mar  7, 2022 22:16:53.799580717 +0545$90$08:71:90:9b:cd:96$c8:50:e9:d1:53:26$192.168.1.20$142.250.182.10$6$76$24$55982$443$Application Data
39$Mar  7, 2022 22:16:53.799712048 +0545$78$08:71:90:9b:cd:96$c8:50:e9:d1:53:26$192.168.1.20$104.16.19.94$6$64$24$45580$443$Application Data
40$Mar  7, 2022 22:16:53.800029438 +0545$90$08:71:90:9b:cd:96$c8:50:e9:d1:53:26$192.168.1.20$142.250.76.42$6$76$24$56788$443$Application Data
41$Mar  7, 2022 22:16:53.801875534 +0545$54$c8:50:e9:d1:53:26$08:71:90:9b:cd:96$104.16.19.94$192.168.1.20$6$40$0$443$45582$443 → 45582 [FIN, ACK] Seq=1 Ack=65 Win=71 Len=0
42$Mar  7, 2022 22:16:53.801890804 +0545$54$08:71:90:9b:cd:96$c8:50:e9:d1:53:26$192.168.1.20$104.16.19.94$6$40$0$45582$443$45582 → 443 [ACK] Seq=65 Ack=2 Win=707 Len=0
43$Mar  7, 2022 22:16:53.803535306 +0545$54$c8:50:e9:d1:53:26$08:71:90:9b:cd:96$104.16.19.94$192.168.1.20$6$40$0$443$45580$443 → 45580 [FIN, ACK] Seq=1 Ack=65 Win=70 Len=0
44$Mar  7, 2022 22:16:53.803566006 +0545$54$08:71:90:9b:cd:96$c8:50:e9:d1:53:26$192.168.1.20$104.16.19.94$6$40$0$45580$443$45580 → 443 [ACK] Seq=65 Ack=2 Win=501 Len=0
45$Mar  7, 2022 22:16:53.803939926 +0545$54$c8:50:e9:d1:53:26$08:71:90:9b:cd:96$104.16.19.94$192.168.1.20$6$40$0$443$45582$[TCP Keep-Alive] 443 → 45582 [ACK] Seq=1 Ack=65 Win=71 Len=0
46$Mar  7, 2022 22:16:53.803950503 +0545$54$08:71:90:9b:cd:96$c8:50:e9:d1:53:26$192.168.1.20$104.16.19.94$6$40$0$45582$443$[TCP Keep-Alive ACK] 45582 → 443 [ACK] Seq=65 Ack=2 Win=707 Len=0
47$Mar  7, 2022 22:16:53.803957343 +0545$54$c8:50:e9:d1:53:26$08:71:90:9b:cd:96$104.16.19.94$192.168.1.20$6$40$0$443$45580$[TCP Keep-Alive] 443 → 45580 [ACK] Seq=1 Ack=65 Win=70 Len=0
48$Mar  7, 2022 22:16:53.803960169 +0545$54$08:71:90:9b:cd:96$c8:50:e9:d1:53:26$192.168.1.20$104.16.19.94$6$40$0$45580$443$[TCP Keep-Alive ACK] 45580 → 443 [ACK] Seq=65 Ack=2 Win=501 Len=0
49$Mar  7, 2022 22:16:53.806812556 +0545$54$c8:50:e9:d1:53:26$08:71:90:9b:cd:96$104.16.19.94$192.168.1.20$6$40$0$443$45582$443 → 45582 [RST] Seq=2 Win=0 Len=0
50$Mar  7, 2022 22:16:53.806844998 +0545$54$c8:50:e9:d1:53:26$08:71:90:9b:cd:96$104.16.19.94$192.168.1.20$6$40$0$443$45580$443 → 45580 [RST] Seq=2 Win=0 Len=0
51$Mar  7, 2022 22:16:53.822506340 +0545$77$08:71:90:9b:cd:96$c8:50:e9:d1:53:26$192.168.1.20$110.44.112.245$17$63$$$$Standard query 0x7980 A www.w3schools.com
52$Mar  7, 2022 22:16:53.822526028 +0545$77$08:71:90:9b:cd:96$c8:50:e9:d1:53:26$192.168.1.20$110.44.112.245$17$63$$$$Standard query 0x9a83 AAAA www.w3schools.com
53$Mar  7, 2022 22:16:53.823042543 +0545$77$08:71:90:9b:cd:96$c8:50:e9:d1:53:26$192.168.1.20$110.44.112.245$17$63$$$$Standard query 0x1a4e A www.w3schools.com
54$Mar  7, 2022 22:16:53.823765804 +0545$74$08:71:90:9b:cd:96$c8:50:e9:d1:53:26$192.168.1.20$192.229.179.87$6$60$0$33996$443$33996 → 443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=1117163133 TSecr=0 WS=128
55$Mar  7, 2022 22:16:53.826152013 +0545$80$08:71:90:9b:cd:96$c8:50:e9:d1:53:26$192.168.1.20$110.44.112.245$17$66$$$$Standard query 0x77eb A fonts.googleapis.com
56$Mar  7, 2022 22:16:53.826171771 +0545$80$08:71:90:9b:cd:96$c8:50:e9:d1:53:26$192.168.1.20$110.44.112.245$17$66$$$$Standard query 0x7eed AAAA fonts.googleapis.com
57$Mar  7, 2022 22:16:53.826642551 +0545$80$08:71:90:9b:cd:96$c8:50:e9:d1:53:26$192.168.1.20$110.44.112.245$17$66$$$$Standard query 0x738e A fonts.googleapis.com
58$Mar  7, 2022 22:16:53.827100586 +0545$80$08:71:90:9b:cd:96$c8:50:e9:d1:53:26$192.168.1.20$110.44.112.245$17$66$$$$Standard query 0xfe91 A cdnjs.cloudflare.com
59$Mar  7, 2022 22:16:53.827108722 +0545$80$08:71:90:9b:cd:96$c8:50:e9:d1:53:26$192.168.1.20$110.44.112.245$17$66$$$$Standard query 0x55af AAAA cdnjs.cloudflare.com
60$Mar  7, 2022 22:16:53.827124569 +0545$74$08:71:90:9b:cd:96$c8:50:e9:d1:53:26$192.168.1.20$142.250.182.10$6$60$0$55984$443$55984 → 443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2331555168 TSecr=0 WS=128
61$Mar  7, 2022 22:16:53.827460283 +0545$80$08:71:90:9b:cd:96$c8:50:e9:d1:53:26$192.168.1.20$110.44.112.245$17$66$$$$Standard query 0x524f A cdnjs.cloudflare.com
62$Mar  7, 2022 22:16:53.827660358 +0545$74$08:71:90:9b:cd:96$c8:50:e9:d1:53:26$192.168.1.20$104.16.19.94$6$60$0$45584$443$45584 → 443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=1466190920 TSecr=0 WS=128
63$Mar  7, 2022 22:16:53.847983913 +0545$66$c8:50:e9:d1:53:26$08:71:90:9b:cd:96$104.16.19.94$192.168.1.20$6$52$0$443$45584$443 → 45584 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM=1 WS=1024
64$Mar  7, 2022 22:16:53.848089199 +0545$54$08:71:90:9b:cd:96$c8:50:e9:d1:53:26$192.168.1.20$104.16.19.94$6$40$0$45584$443$45584 → 443 [ACK] Seq=1 Ack=1 Win=64256 Len=0
65$Mar  7, 2022 22:16:53.849401250 +0545$66$c8:50:e9:d1:53:26$08:71:90:9b:cd:96$142.250.71.35$192.168.1.20$6$52$0$443$46174$443 → 46174 [FIN, ACK] Seq=1 Ack=65 Win=267 Len=0 TSval=608696521 TSecr=2400922858
66$Mar  7, 2022 22:16:53.849538176 +0545$66$08:71:90:9b:cd:96$c8:50:e9:d1:53:26$192.168.1.20$142.250.71.35$6$52$0$46174$443$46174 → 443 [ACK] Seq=65 Ack=2 Win=501 Len=0 TSval=2400922910 TSecr=608696521
67$Mar  7, 2022 22:16:53.850705014 +0545$676$08:71:90:9b:cd:96$c8:50:e9:d1:53:26$192.168.1.20$104.16.19.94$6$662$622$45584$443$Client Hello
68$Mar  7, 2022 22:16:53.852267461 +0545$502$08:71:90:9b:cd:96$c8:50:e9:d1:53:26$192.168.1.20$104.16.19.94$6$488$448$45584$443$Change Cipher Spec, Application Data
69$Mar  7, 2022 22:16:53.854589470 +0545$96$c8:50:e9:d1:53:26$08:71:90:9b:cd:96$110.44.112.245$192.168.1.20$17$82$$$$Standard query response 0x77eb A fonts.googleapis.com A 142.250.182.10
70$Mar  7, 2022 22:16:53.855639191 +0545$112$c8:50:e9:d1:53:26$08:71:90:9b:cd:96$110.44.112.245$192.168.1.20$17$98$$$$Standard query response 0x524f A cdnjs.cloudflare.com A 104.16.19.94 A 104.16.18.94
71$Mar  7, 2022 22:16:53.855639224 +0545$54$c8:50:e9:d1:53:26$08:71:90:9b:cd:96$104.16.19.94$192.168.1.20$6$40$0$443$45584$443 → 45584 [ACK] Seq=1 Ack=623 Win=68608 Len=0
72$Mar  7, 2022 22:16:53.855639241 +0545$54$c8:50:e9:d1:53:26$08:71:90:9b:cd:96$104.16.19.94$192.168.1.20$6$40$0$443$45584$443 → 45584 [ACK] Seq=1 Ack=1071 Win=71680 Len=0
73$Mar  7, 2022 22:16:53.855639259 +0545$736$c8:50:e9:d1:53:26$08:71:90:9b:cd:96$104.16.19.94$192.168.1.20$6$722$682$443$45584$Server Hello, Change Cipher Spec, Application Data, Application Data
74$Mar  7, 2022 22:16:53.855729719 +0545$54$08:71:90:9b:cd:96$c8:50:e9:d1:53:26$192.168.1.20$104.16.19.94$6$40$0$45584$443$45584 → 443 [ACK] Seq=1071 Ack=683 Win=63616 Len=0
75$Mar  7, 2022 22:16:53.855740899 +0545$96$c8:50:e9:d1:53:26$08:71:90:9b:cd:96$110.44.112.245$192.168.1.20$17$82$$$$Standard query response 0x738e A fonts.googleapis.com A 142.250.182.10
76$Mar  7, 2022 22:16:53.855763174 +0545$108$c8:50:e9:d1:53:26$08:71:90:9b:cd:96$110.44.112.245$192.168.1.20$17$94$$$$Standard query response 0x7eed AAAA fonts.googleapis.com AAAA 2404:6800:4007:819::200a
77$Mar  7, 2022 22:16:53.855763227 +0545$112$c8:50:e9:d1:53:26$08:71:90:9b:cd:96$110.44.112.245$192.168.1.20$17$98$$$$Standard query response 0xfe91 A cdnjs.cloudflare.com A 104.16.19.94 A 104.16.18.94
78$Mar  7, 2022 22:16:53.855763251 +0545$136$c8:50:e9:d1:53:26$08:71:90:9b:cd:96$110.44.112.245$192.168.1.20$17$122$$$$Standard query response 0x55af AAAA cdnjs.cloudflare.com AAAA 2606:4700::6810:125e AAAA 2606:4700::6810:135e
79$Mar  7, 2022 22:16:53.855763273 +0545$66$c8:50:e9:d1:53:26$08:71:90:9b:cd:96$142.250.71.35$192.168.1.20$6$52$0$443$46174$[TCP Keep-Alive] 443 → 46174 [ACK] Seq=1 Ack=65 Win=267 Len=0 TSval=608696521 TSecr=2400922858
80$Mar  7, 2022 22:16:53.855793319 +0545$66$08:71:90:9b:cd:96$c8:50:e9:d1:53:26$192.168.1.20$142.250.71.35$6$52$0$46174$443$[TCP Keep-Alive ACK] 46174 → 443 [ACK] Seq=65 Ack=2 Win=501 Len=0 TSval=2400922916 TSecr=608696521
81$Mar  7, 2022 22:16:53.856331512 +0545$125$c8:50:e9:d1:53:26$08:71:90:9b:cd:96$104.16.19.94$192.168.1.20$6$111$71$443$45584$Application Data
82$Mar  7, 2022 22:16:53.856339314 +0545$54$08:71:90:9b:cd:96$c8:50:e9:d1:53:26$192.168.1.20$104.16.19.94$6$40$0$45584$443$45584 → 443 [ACK] Seq=1071 Ack=754 Win=63616 Len=0
83$Mar  7, 2022 22:16:53.856656306 +0545$138$08:71:90:9b:cd:96$c8:50:e9:d1:53:26$192.168.1.20$104.16.19.94$6$124$84$45584$443$Application Data, Application Data
84$Mar  7, 2022 22:16:53.861936748 +0545$85$08:71:90:9b:cd:96$c8:50:e9:d1:53:26$192.168.1.20$104.16.19.94$6$71$31$45584$443$Application Data
85$Mar  7, 2022 22:16:53.862654088 +0545$85$c8:50:e9:d1:53:26$08:71:90:9b:cd:96$104.16.19.94$192.168.1.20$6$71$31$443$45584$[TCP Previous segment not captured] , Application Data
86$Mar  7, 2022 22:16:53.862680116 +0545$66$08:71:90:9b:cd:96$c8:50:e9:d1:53:26$192.168.1.20$104.16.19.94$6$52$0$45584$443$[TCP Dup ACK 82#1] 45584 → 443 [ACK] Seq=1186 Ack=754 Win=64128 Len=0 SLE=7225 SRE=7256
87$Mar  7, 2022 22:16:53.865350878 +0545$1445$c8:50:e9:d1:53:26$08:71:90:9b:cd:96$104.16.19.94$192.168.1.20$6$1431$1391$443$45584$[TCP Out-Of-Order] 443 → 45584 [PSH, ACK] Seq=754 Ack=1071 Win=71680 Len=1391
88$Mar  7, 2022 22:16:53.865420094 +0545$66$08:71:90:9b:cd:96$c8:50:e9:d1:53:26$192.168.1.20$104.16.19.94$6$52$0$45584$443$45584 → 443 [ACK] Seq=1186 Ack=2145 Win=62848 Len=0 SLE=7225 SRE=7256
89$Mar  7, 2022 22:16:53.866733199 +0545$1399$08:71:90:9b:cd:96$c8:50:e9:d1:53:26$192.168.1.20$104.16.19.94$17$1385$$$$Initial, DCID=d0d17fa400916888, SCID=c0972d, PKN: 0, CRYPTO
90$Mar  7, 2022 22:16:53.867656863 +0545$1445$c8:50:e9:d1:53:26$08:71:90:9b:cd:96$104.16.19.94$192.168.1.20$6$1431$1391$443$45584$[TCP Out-Of-Order] 443 → 45584 [PSH, ACK] Seq=2145 Ack=1071 Win=71680 Len=1391
91$Mar  7, 2022 22:16:53.867688191 +0545$66$08:71:90:9b:cd:96$c8:50:e9:d1:53:26$192.168.1.20$104.16.19.94$6$52$0$45584$443$45584 → 443 [ACK] Seq=1186 Ack=3536 Win=62720 Len=0 SLE=7225 SRE=7256
92$Mar  7, 2022 22:16:53.867657024 +0545$2836$c8:50:e9:d1:53:26$08:71:90:9b:cd:96$104.16.19.94$192.168.1.20$6$2822$2782$443$45584$[TCP Out-Of-Order] 443 → 45584 [PSH, ACK] Seq=3536 Ack=1071 Win=71680 Len=2782
93$Mar  7, 2022 22:16:53.867657042 +0545$961$c8:50:e9:d1:53:26$08:71:90:9b:cd:96$104.16.19.94$192.168.1.20$6$947$907$443$45584$[TCP Out-Of-Order] 443 → 45584 [PSH, ACK] Seq=6318 Ack=1071 Win=71680 Len=907
94$Mar  7, 2022 22:16:53.867706650 +0545$66$08:71:90:9b:cd:96$c8:50:e9:d1:53:26$192.168.1.20$104.16.19.94$6$52$0$45584$443$45584 → 443 [ACK] Seq=1186 Ack=6318 Win=60032 Len=0 SLE=7225 SRE=7256
95$Mar  7, 2022 22:16:53.867657059 +0545$54$c8:50:e9:d1:53:26$08:71:90:9b:cd:96$104.16.19.94$192.168.1.20$6$40$0$443$45584$443 → 45584 [ACK] Seq=7256 Ack=1155 Win=71680 Len=0
96$Mar  7, 2022 22:16:53.867714536 +0545$54$08:71:90:9b:cd:96$c8:50:e9:d1:53:26$192.168.1.20$104.16.19.94$6$40$0$45584$443$45584 → 443 [ACK] Seq=1186 Ack=7256 Win=59136 Len=0
97$Mar  7, 2022 22:16:53.869164193 +0545$54$c8:50:e9:d1:53:26$08:71:90:9b:cd:96$104.16.19.94$192.168.1.20$6$40$0$443$45584$443 → 45584 [ACK] Seq=7256 Ack=1186 Win=71680 Len=0
98$Mar  7, 2022 22:16:53.870233739 +0545$66$c8:50:e9:d1:53:26$08:71:90:9b:cd:96$142.250.205.238$192.168.1.20$6$52$0$443$51588$443 → 51588 [FIN, ACK] Seq=1 Ack=65 Win=322 Len=0 TSval=596184883 TSecr=1165886322
99$Mar  7, 2022 22:16:53.870256916 +0545$66$08:71:90:9b:cd:96$c8:50:e9:d1:53:26$192.168.1.20$142.250.205.238$6$52$0$51588$443$51588 → 443 [ACK] Seq=65 Ack=2 Win=501 Len=0 TSval=1165886393 TSecr=596184883
